Report Number,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,,,,
17213,Delhi,466,ASSAULT,16,F,Firearm,Violent Crime,14,Yes,,,,
17214,Ahmedabad,236,BURGLARY,59,M,Explosives,Other Crime,2,Yes,,,,
17215,Jaipur,582,EXTORTION,24,F,Firearm,Other Crime,13,No,,,,
17216,Bangalore,498,SHOPLIFTING,71,X,Blunt Object,Other Crime,1,No,,,,
17217,Pune,115,IDENTITY THEFT,25,X,Blunt Object,Violent Crime,3,No,,,,
17218,Delhi,128,IDENTITY THEFT,73,X,Firearm,Violent Crime,3,No,,,,
17219,Bhopal,270,DRUG OFFENSE,26,M,Firearm,Other Crime,10,No,,,,
17220,Delhi,565,SEXUAL ASSAULT,33,X,Explosives,Violent Crime,2,Yes,,,,
17221,Hyderabad,428,ARSON,62,M,None,Fire Accident,11,Yes,,,,
17222,Bangalore,390,FRAUD,31,X,Firearm,Other Crime,15,Yes,,,,
17223,Ludhiana,303,KIDNAPPING,54,M,Firearm,Other Crime,10,No,,,,
17224,Bangalore,458,ILLEGAL POSSESSION,15,X,None,Other Crime,16,Yes,,,,
17225,Ahmedabad,593,SHOPLIFTING,37,F,Explosives,Other Crime,16,Yes,,,,
17226,Pune,539,EXTORTION,39,M,Knife,Other Crime,10,Yes,,,,
17227,Visakhapatnam,479,ILLEGAL POSSESSION,25,M,Firearm,Other Crime,17,Yes,,,,
17228,Delhi,255,HOMICIDE,38,F,Firearm,Other Crime,11,Yes,,,,
17229,Pune,554,SHOPLIFTING,76,M,Poison,Other Crime,7,No,,,,
17230,Pune,530,DRUG OFFENSE,25,F,Knife,Other Crime,15,No,,,,
17231,Delhi,333,ILLEGAL POSSESSION,38,F,None,Other Crime,17,Yes,,,,
17232,Agra,547,FIREARM OFFENSE,42,F,Firearm,Fire Accident,10,No,,,,
17233,Pune,377,TRAFFIC VIOLATION,42,F,Explosives,Traffic Fatality,3,Yes,,,,
17234,Delhi,323,KIDNAPPING,54,X,Explosives,Other Crime,8,No,,,,
17235,Delhi,347,VEHICLE - STOLEN,51,X,Firearm,Violent Crime,5,No,,,,
17236,Kolkata,487,PUBLIC INTOXICATION,23,F,Blunt Object,Other Crime,10,No,,,,
17237,Srinagar,591,DRUG OFFENSE,13,X,Explosives,Other Crime,17,No,,,,
17238,Jaipur,239,SEXUAL ASSAULT,79,F,Firearm,Violent Crime,6,Yes,,,,
17239,Bangalore,384,CYBERCRIME,77,M,Knife,Other Crime,15,Yes,,,,
17240,Jaipur,242,CYBERCRIME,72,M,Firearm,Other Crime,12,No,,,,
17241,Lucknow,227,IDENTITY THEFT,16,M,Poison,Violent Crime,2,Yes,,,,
17242,Hyderabad,189,EXTORTION,40,X,None,Other Crime,9,Yes,,,,
17243,Surat,246,HOMICIDE,62,F,Poison,Other Crime,4,No,,,,
17244,Mumbai,581,BURGLARY,39,X,None,Other Crime,16,No,,,,
17245,Jaipur,289,COUNTERFEITING,30,X,Firearm,Other Crime,8,Yes,,,,
17246,Thane,269,COUNTERFEITING,37,X,Explosives,Other Crime,14,Yes,,,,
17247,Nagpur,137,IDENTITY THEFT,46,X,Knife,Violent Crime,14,Yes,,,,
17248,Kanpur,219,ASSAULT,71,M,Knife,Violent Crime,9,No,,,,
17249,Ahmedabad,176,HOMICIDE,74,M,Knife,Other Crime,1,No,,,,
17250,Lucknow,186,IDENTITY THEFT,25,X,None,Violent Crime,8,Yes,,,,
17251,Ludhiana,471,SHOPLIFTING,55,M,Other,Other Crime,14,Yes,,,,
17252,Pune,392,ILLEGAL POSSESSION,21,X,Poison,Other Crime,3,No,,,,
17253,Hyderabad,278,HOMICIDE,59,M,Poison,Other Crime,9,No,,,,
17254,Ahmedabad,281,SEXUAL ASSAULT,29,X,Poison,Violent Crime,2,Yes,,,,
17255,Chennai,267,KIDNAPPING,46,M,Knife,Other Crime,7,Yes,,,,
17256,Vasai,450,IDENTITY THEFT,77,X,Firearm,Violent Crime,4,No,,,,
17257,Chennai,282,IDENTITY THEFT,69,F,Poison,Violent Crime,17,Yes,,,,
17258,Ahmedabad,430,KIDNAPPING,23,M,Blunt Object,Other Crime,18,No,,,,
17259,Pune,327,DRUG OFFENSE,44,X,Other,Other Crime,1,Yes,,,,
17260,Hyderabad,323,FRAUD,79,F,Blunt Object,Other Crime,11,No,,,,
17261,Mumbai,177,ARSON,76,X,Other,Fire Accident,16,Yes,,,,
17262,Kolkata,354,SHOPLIFTING,36,X,Explosives,Other Crime,5,No,,,,
17263,Kolkata,160,TRAFFIC VIOLATION,77,X,Blunt Object,Traffic Fatality,3,No,,,,
17264,Hyderabad,516,TRAFFIC VIOLATION,17,X,Explosives,Traffic Fatality,8,No,,,,
17265,Kolkata,298,ROBBERY,68,X,Blunt Object,Violent Crime,7,Yes,,,,
17266,Mumbai,413,FRAUD,46,F,Firearm,Other Crime,19,No,,,,
17267,Bangalore,588,CYBERCRIME,71,X,Knife,Other Crime,4,No,,,,
17268,Kolkata,352,VEHICLE - STOLEN,48,F,Blunt Object,Violent Crime,15,No,,,,
17269,Patna,140,FRAUD,29,M,Firearm,Other Crime,15,Yes,,,,
17270,Ludhiana,238,SHOPLIFTING,63,M,Poison,Other Crime,17,Yes,,,,
17271,Bangalore,272,VANDALISM,56,F,Knife,Other Crime,13,No,,,,
17272,Delhi,451,SHOPLIFTING,11,F,None,Other Crime,13,Yes,,,,
17273,Kolkata,379,EXTORTION,71,M,Poison,Other Crime,2,No,,,,
17274,Vasai,148,TRAFFIC VIOLATION,64,X,Other,Traffic Fatality,2,No,,,,
17275,Pune,582,FIREARM OFFENSE,31,F,None,Fire Accident,18,Yes,,,,
17276,Hyderabad,105,DOMESTIC VIOLENCE,13,X,Knife,Violent Crime,15,Yes,,,,
17277,Mumbai,259,DRUG OFFENSE,24,X,Explosives,Other Crime,1,No,,,,
17278,Delhi,200,ARSON,13,M,Explosives,Fire Accident,17,No,,,,
17279,Visakhapatnam,372,VEHICLE - STOLEN,58,M,Explosives,Violent Crime,17,No,,,,
17280,Ahmedabad,287,HOMICIDE,13,X,Explosives,Other Crime,19,No,,,,
17281,Lucknow,280,EXTORTION,38,F,Knife,Other Crime,7,Yes,,,,
17282,Bangalore,329,COUNTERFEITING,74,M,None,Other Crime,2,No,,,,
17283,Mumbai,125,IDENTITY THEFT,18,X,Firearm,Violent Crime,6,Yes,,,,
17284,Hyderabad,114,IDENTITY THEFT,37,X,Explosives,Violent Crime,15,No,,,,
17285,Mumbai,544,IDENTITY THEFT,33,X,Blunt Object,Violent Crime,8,Yes,,,,
17286,Delhi,551,HOMICIDE,22,F,Poison,Other Crime,14,No,,,,
17287,Delhi,553,SEXUAL ASSAULT,28,M,Knife,Violent Crime,15,No,,,,
17288,Kolkata,465,ILLEGAL POSSESSION,42,X,Knife,Other Crime,11,No,,,,
17289,Kolkata,384,ROBBERY,24,M,Explosives,Violent Crime,1,Yes,,,,
17290,Ahmedabad,299,COUNTERFEITING,50,F,None,Other Crime,19,No,,,,
17291,Thane,271,KIDNAPPING,41,F,Knife,Other Crime,1,Yes,,,,
17292,Surat,587,VEHICLE - STOLEN,54,X,Firearm,Violent Crime,1,Yes,,,,
17293,Delhi,145,VANDALISM,32,M,None,Other Crime,10,No,,,,
17294,Nagpur,409,SHOPLIFTING,79,X,None,Other Crime,12,No,,,,
17295,Ghaziabad,464,ROBBERY,51,M,None,Violent Crime,9,No,,,,
17296,Chennai,322,IDENTITY THEFT,69,X,Blunt Object,Violent Crime,15,No,,,,
17297,Kolkata,250,FIREARM OFFENSE,18,X,Explosives,Fire Accident,15,No,,,,
17298,Bhopal,110,VEHICLE - STOLEN,62,F,Knife,Violent Crime,7,No,,,,
17299,Delhi,366,EXTORTION,51,F,Poison,Other Crime,10,No,,,,
17300,Ludhiana,231,BURGLARY,16,M,Firearm,Other Crime,6,No,,,,
17301,Bangalore,404,FRAUD,44,M,None,Other Crime,5,No,,,,
17302,Jaipur,563,ASSAULT,65,X,Blunt Object,Violent Crime,11,No,,,,
17303,Delhi,241,HOMICIDE,19,F,Blunt Object,Other Crime,13,No,,,,
17304,Jaipur,386,DOMESTIC VIOLENCE,72,X,Explosives,Violent Crime,1,Yes,,,,
17305,Mumbai,381,ASSAULT,47,M,Explosives,Violent Crime,12,Yes,,,,
17306,Ludhiana,320,IDENTITY THEFT,37,M,Poison,Violent Crime,3,Yes,,,,
17307,Kolkata,577,SHOPLIFTING,10,M,Other,Other Crime,17,No,,,,
17308,Rajkot,331,ROBBERY,78,F,None,Violent Crime,8,No,,,,
17309,Surat,222,ROBBERY,27,M,Blunt Object,Violent Crime,15,No,,,,
17310,Hyderabad,223,DOMESTIC VIOLENCE,45,X,Poison,Violent Crime,19,No,,,,
17311,Pune,553,PUBLIC INTOXICATION,67,X,Explosives,Other Crime,4,Yes,,,,
17312,Jaipur,494,TRAFFIC VIOLATION,11,M,Firearm,Traffic Fatality,12,Yes,,,,
17313,Visakhapatnam,390,COUNTERFEITING,43,X,Explosives,Other Crime,3,No,,,,
17314,Bangalore,207,BURGLARY,21,M,None,Other Crime,19,No,,,,
17315,Delhi,539,EXTORTION,75,F,Knife,Other Crime,7,No,,,,
17316,Mumbai,311,CYBERCRIME,24,X,Firearm,Other Crime,11,Yes,,,,
17317,Delhi,268,ARSON,38,M,Firearm,Fire Accident,9,No,,,,
17318,Jaipur,414,CYBERCRIME,73,F,Other,Other Crime,15,No,,,,
17319,Bangalore,402,ARSON,79,X,Firearm,Fire Accident,12,No,,,,
17320,Hyderabad,515,COUNTERFEITING,73,F,Poison,Other Crime,15,No,,,,
17321,Delhi,162,DRUG OFFENSE,27,F,Explosives,Other Crime,9,No,,,,
17322,Mumbai,583,SHOPLIFTING,26,F,Blunt Object,Other Crime,17,No,,,,
17323,Chennai,468,FIREARM OFFENSE,59,X,Knife,Fire Accident,14,No,,,,
17324,Delhi,447,CYBERCRIME,65,F,Blunt Object,Other Crime,18,Yes,,,,
17325,Thane,544,ASSAULT,26,F,Blunt Object,Violent Crime,17,Yes,,,,
17326,Ahmedabad,269,ARSON,24,X,Knife,Fire Accident,2,No,,,,
17327,Patna,327,FIREARM OFFENSE,73,X,None,Fire Accident,15,Yes,,,,
17328,Surat,452,IDENTITY THEFT,64,M,Poison,Violent Crime,8,Yes,,,,
17329,Surat,162,PUBLIC INTOXICATION,47,M,Firearm,Other Crime,11,No,,,,
17330,Ludhiana,525,FIREARM OFFENSE,74,X,Firearm,Fire Accident,10,Yes,,,,
17331,Kolkata,316,ILLEGAL POSSESSION,62,M,Poison,Other Crime,1,Yes,,,,
17332,Pune,126,FIREARM OFFENSE,27,M,Knife,Fire Accident,14,No,,,,
17333,Ludhiana,261,FRAUD,56,M,Blunt Object,Other Crime,4,Yes,,,,
17334,Bangalore,444,CYBERCRIME,23,F,Blunt Object,Other Crime,8,Yes,,,,
17335,Chennai,124,DOMESTIC VIOLENCE,33,F,None,Violent Crime,4,Yes,,,,
17336,Ludhiana,155,IDENTITY THEFT,77,F,Knife,Violent Crime,4,Yes,,,,
17337,Bangalore,330,FIREARM OFFENSE,60,F,Knife,Fire Accident,17,No,,,,
17338,Kalyan,412,HOMICIDE,69,M,Firearm,Other Crime,14,No,,,,
17339,Delhi,353,IDENTITY THEFT,32,X,Blunt Object,Violent Crime,1,Yes,,,,
17340,Jaipur,309,ROBBERY,50,F,Explosives,Violent Crime,9,Yes,,,,
17341,Pune,141,TRAFFIC VIOLATION,60,X,Other,Traffic Fatality,17,Yes,,,,
17342,Lucknow,461,ASSAULT,78,F,Poison,Violent Crime,2,No,,,,
17343,Jaipur,157,ROBBERY,77,M,Blunt Object,Violent Crime,14,Yes,,,,
17344,Mumbai,554,ARSON,16,M,Other,Fire Accident,13,Yes,,,,
17345,Jaipur,363,VANDALISM,16,X,Blunt Object,Other Crime,1,No,,,,
17346,Kolkata,421,FRAUD,28,X,Poison,Other Crime,3,Yes,,,,
17347,Kolkata,418,HOMICIDE,19,M,Firearm,Other Crime,10,Yes,,,,
17348,Mumbai,526,BURGLARY,17,M,Poison,Other Crime,14,Yes,,,,
17349,Hyderabad,488,VANDALISM,49,M,Firearm,Other Crime,11,Yes,,,,
17350,Chennai,592,IDENTITY THEFT,57,F,Blunt Object,Violent Crime,5,Yes,,,,
17351,Chennai,593,FIREARM OFFENSE,53,X,Knife,Fire Accident,16,Yes,,,,
17352,Delhi,157,COUNTERFEITING,75,X,Other,Other Crime,3,No,,,,
17353,Delhi,541,FRAUD,58,X,Knife,Other Crime,8,Yes,,,,
17354,Jaipur,147,DRUG OFFENSE,31,M,Explosives,Other Crime,18,No,,,,
17355,Mumbai,406,BURGLARY,52,X,Firearm,Other Crime,12,No,,,,
17356,Indore,141,CYBERCRIME,31,M,Blunt Object,Other Crime,11,Yes,,,,
17357,Mumbai,117,EXTORTION,18,M,None,Other Crime,6,Yes,,,,
17358,Delhi,212,DRUG OFFENSE,59,F,Explosives,Other Crime,15,Yes,,,,
17359,Mumbai,434,IDENTITY THEFT,12,X,None,Violent Crime,13,Yes,,,,
17360,Jaipur,348,CYBERCRIME,17,M,Other,Other Crime,16,No,,,,
17361,Delhi,337,DOMESTIC VIOLENCE,65,M,Blunt Object,Violent Crime,15,Yes,,,,
17362,Delhi,240,FRAUD,72,M,Firearm,Other Crime,10,Yes,,,,
17363,Ludhiana,127,CYBERCRIME,58,M,Knife,Other Crime,15,No,,,,
17364,Bhopal,393,ASSAULT,67,X,None,Violent Crime,7,No,,,,
17365,Bangalore,166,KIDNAPPING,40,X,Explosives,Other Crime,13,Yes,,,,
17366,Ghaziabad,211,SEXUAL ASSAULT,49,M,Blunt Object,Violent Crime,19,No,,,,
17367,Hyderabad,531,VEHICLE - STOLEN,56,X,Poison,Violent Crime,4,Yes,,,,
17368,Thane,488,ILLEGAL POSSESSION,59,M,None,Other Crime,6,No,,,,
17369,Bhopal,372,IDENTITY THEFT,57,F,Blunt Object,Violent Crime,10,Yes,,,,
17370,Bangalore,459,COUNTERFEITING,67,F,Knife,Other Crime,19,Yes,,,,
17371,Visakhapatnam,356,TRAFFIC VIOLATION,44,X,Other,Traffic Fatality,11,Yes,,,,
17372,Ahmedabad,118,KIDNAPPING,34,F,Firearm,Other Crime,18,No,,,,
17373,Visakhapatnam,585,ILLEGAL POSSESSION,33,F,Other,Other Crime,12,Yes,,,,
17374,Bangalore,139,CYBERCRIME,32,X,Explosives,Other Crime,16,No,,,,
17375,Lucknow,566,CYBERCRIME,13,X,Blunt Object,Other Crime,10,Yes,,,,
17376,Thane,445,SEXUAL ASSAULT,64,X,Knife,Violent Crime,16,Yes,,,,
17377,Hyderabad,360,FRAUD,36,F,None,Other Crime,13,No,,,,
17378,Indore,340,ASSAULT,41,F,Poison,Violent Crime,13,Yes,,,,
17379,Jaipur,275,PUBLIC INTOXICATION,23,F,Blunt Object,Other Crime,17,No,,,,
17380,Ahmedabad,469,KIDNAPPING,52,F,Explosives,Other Crime,2,No,,,,
17381,Lucknow,296,BURGLARY,76,F,Blunt Object,Other Crime,5,No,,,,
17382,Delhi,353,ASSAULT,29,F,Poison,Violent Crime,14,No,,,,
17383,Jaipur,581,VANDALISM,46,F,None,Other Crime,11,No,,,,
17384,Patna,322,DOMESTIC VIOLENCE,56,F,Explosives,Violent Crime,7,No,,,,
17385,Mumbai,403,VEHICLE - STOLEN,20,X,Other,Violent Crime,17,Yes,,,,
17386,Indore,234,FRAUD,21,M,None,Other Crime,6,No,,,,
17387,Delhi,355,HOMICIDE,32,X,Poison,Other Crime,1,Yes,,,,
17388,Jaipur,206,VANDALISM,60,M,Knife,Other Crime,15,No,,,,
17389,Kanpur,358,DRUG OFFENSE,58,F,Explosives,Other Crime,5,No,,,,
17390,Kolkata,516,KIDNAPPING,26,X,Blunt Object,Other Crime,3,No,,,,
17391,Chennai,301,FRAUD,31,M,Poison,Other Crime,6,Yes,,,,
17392,Chennai,256,SHOPLIFTING,28,F,Other,Other Crime,13,No,,,,
17393,Hyderabad,281,ILLEGAL POSSESSION,52,F,Firearm,Other Crime,13,No,,,,
17394,Kanpur,405,ROBBERY,64,M,Poison,Violent Crime,18,No,,,,
17395,Indore,598,BURGLARY,44,X,Knife,Other Crime,2,No,,,,
17396,Mumbai,321,FRAUD,41,X,Poison,Other Crime,14,No,,,,
17397,Lucknow,495,HOMICIDE,56,M,Firearm,Other Crime,18,Yes,,,,
17398,Pune,563,COUNTERFEITING,68,M,Poison,Other Crime,4,Yes,,,,
17399,Ghaziabad,134,DOMESTIC VIOLENCE,76,M,Blunt Object,Violent Crime,1,No,,,,
17400,Hyderabad,371,COUNTERFEITING,34,X,Blunt Object,Other Crime,8,No,,,,
17401,Delhi,374,FRAUD,13,M,Poison,Other Crime,1,No,,,,
17402,Delhi,554,PUBLIC INTOXICATION,69,M,Poison,Other Crime,11,No,,,,
17403,Delhi,141,CYBERCRIME,53,F,Blunt Object,Other Crime,10,No,,,,
17404,Mumbai,423,COUNTERFEITING,42,F,Firearm,Other Crime,12,Yes,,,,
17405,Faridabad,477,VEHICLE - STOLEN,21,M,Blunt Object,Violent Crime,11,No,,,,
17406,Hyderabad,503,TRAFFIC VIOLATION,33,M,None,Traffic Fatality,4,No,,,,
17407,Agra,116,PUBLIC INTOXICATION,55,F,Other,Other Crime,8,No,,,,
17408,Ahmedabad,556,DOMESTIC VIOLENCE,17,M,None,Violent Crime,12,Yes,,,,
17409,Ghaziabad,331,PUBLIC INTOXICATION,79,X,Other,Other Crime,6,Yes,,,,
17410,Thane,585,KIDNAPPING,25,F,Firearm,Other Crime,15,Yes,,,,
17411,Pune,524,BURGLARY,40,M,Other,Other Crime,13,No,,,,
17412,Nagpur,206,SEXUAL ASSAULT,16,X,Explosives,Violent Crime,15,No,,,,
17413,Delhi,148,COUNTERFEITING,16,X,Knife,Other Crime,4,Yes,,,,
17414,Chennai,179,HOMICIDE,59,F,Knife,Other Crime,12,No,,,,
17415,Bangalore,577,VEHICLE - STOLEN,44,X,Other,Violent Crime,17,No,,,,
17416,Mumbai,259,CYBERCRIME,43,F,Firearm,Other Crime,15,Yes,,,,
17417,Hyderabad,535,VANDALISM,32,X,Firearm,Other Crime,2,Yes,,,,
17418,Nagpur,275,PUBLIC INTOXICATION,15,M,None,Other Crime,8,Yes,,,,
17419,Chennai,536,FRAUD,25,F,Explosives,Other Crime,12,Yes,,,,
17420,Pune,386,FIREARM OFFENSE,10,X,Poison,Fire Accident,19,No,,,,
17421,Vasai,112,FRAUD,46,M,Blunt Object,Other Crime,3,Yes,,,,
17422,Mumbai,196,HOMICIDE,62,F,Poison,Other Crime,3,No,,,,
17423,Kolkata,596,FRAUD,60,X,Firearm,Other Crime,10,No,,,,
17424,Bangalore,420,KIDNAPPING,31,M,Poison,Other Crime,5,Yes,,,,
17425,Delhi,404,SEXUAL ASSAULT,66,X,Poison,Violent Crime,7,Yes,,,,
17426,Surat,205,VEHICLE - STOLEN,78,F,Blunt Object,Violent Crime,5,No,,,,
17427,Mumbai,579,HOMICIDE,35,X,Firearm,Other Crime,18,Yes,,,,
17428,Delhi,110,SHOPLIFTING,76,M,Explosives,Other Crime,16,No,,,,
17429,Ahmedabad,586,COUNTERFEITING,64,X,Other,Other Crime,12,No,,,,
17430,Delhi,518,FRAUD,31,F,Knife,Other Crime,5,Yes,,,,
17431,Chennai,442,VANDALISM,75,M,Knife,Other Crime,13,No,,,,
17432,Hyderabad,418,ROBBERY,74,M,Blunt Object,Violent Crime,4,No,,,,
17433,Nagpur,102,HOMICIDE,37,F,Other,Other Crime,5,Yes,,,,
17434,Nagpur,280,PUBLIC INTOXICATION,40,F,Poison,Other Crime,12,Yes,,,,
17435,Kolkata,354,FRAUD,41,M,Other,Other Crime,2,No,,,,
17436,Mumbai,302,BURGLARY,33,F,Blunt Object,Other Crime,10,No,,,,
17437,Pune,595,KIDNAPPING,25,M,Blunt Object,Other Crime,10,No,,,,
17438,Ludhiana,196,VEHICLE - STOLEN,14,F,Explosives,Violent Crime,3,No,,,,
17439,Delhi,255,PUBLIC INTOXICATION,17,F,Blunt Object,Other Crime,11,Yes,,,,
17440,Nagpur,425,DRUG OFFENSE,35,X,None,Other Crime,6,Yes,,,,
17441,Ahmedabad,250,ASSAULT,10,M,Other,Violent Crime,8,Yes,,,,
17442,Nagpur,506,EXTORTION,47,F,Poison,Other Crime,10,Yes,,,,
17443,Nagpur,454,FRAUD,19,X,Poison,Other Crime,4,No,,,,
17444,Pune,161,ASSAULT,54,X,None,Violent Crime,6,Yes,,,,
17445,Meerut,292,BURGLARY,69,M,Blunt Object,Other Crime,15,No,,,,
17446,Srinagar,275,DOMESTIC VIOLENCE,67,F,Poison,Violent Crime,16,No,,,,
17447,Mumbai,510,SHOPLIFTING,39,F,Blunt Object,Other Crime,8,No,,,,
17448,Bangalore,133,ROBBERY,11,M,Explosives,Violent Crime,15,No,,,,
17449,Delhi,464,ILLEGAL POSSESSION,66,F,Blunt Object,Other Crime,14,Yes,,,,
17450,Nagpur,269,FIREARM OFFENSE,58,M,Explosives,Fire Accident,15,No,,,,
17451,Lucknow,183,PUBLIC INTOXICATION,75,F,None,Other Crime,6,Yes,,,,
17452,Ahmedabad,429,PUBLIC INTOXICATION,19,M,Poison,Other Crime,11,Yes,,,,
17453,Mumbai,230,ILLEGAL POSSESSION,61,X,Knife,Other Crime,15,No,,,,
17454,Hyderabad,582,IDENTITY THEFT,25,F,Firearm,Violent Crime,14,Yes,,,,
17455,Mumbai,388,ROBBERY,71,F,Knife,Violent Crime,13,No,,,,
17456,Visakhapatnam,223,SEXUAL ASSAULT,64,F,Other,Violent Crime,14,Yes,,,,
17457,Bangalore,523,ROBBERY,53,X,Other,Violent Crime,5,Yes,,,,
17458,Mumbai,262,FRAUD,34,M,Knife,Other Crime,1,No,,,,
17459,Chennai,366,PUBLIC INTOXICATION,51,X,Knife,Other Crime,1,Yes,,,,
17460,Mumbai,164,TRAFFIC VIOLATION,48,X,None,Traffic Fatality,6,Yes,,,,
17461,Kanpur,266,IDENTITY THEFT,27,M,Blunt Object,Violent Crime,14,No,,,,
17462,Lucknow,254,HOMICIDE,59,X,Firearm,Other Crime,6,Yes,,,,
17463,Pune,520,VEHICLE - STOLEN,34,F,Knife,Violent Crime,10,Yes,,,,
17464,Delhi,157,CYBERCRIME,33,M,None,Other Crime,13,No,,,,
17465,Delhi,580,ASSAULT,13,X,Firearm,Violent Crime,11,No,,,,
17466,Delhi,594,ASSAULT,66,F,Knife,Violent Crime,17,Yes,,,,
17467,Ahmedabad,176,FRAUD,78,M,Explosives,Other Crime,10,Yes,,,,
17468,Ahmedabad,121,PUBLIC INTOXICATION,12,M,Firearm,Other Crime,9,No,,,,
17469,Delhi,479,ASSAULT,54,M,Explosives,Violent Crime,16,No,,,,
17470,Patna,340,VEHICLE - STOLEN,66,M,Other,Violent Crime,15,Yes,,,,
17471,Nashik,296,FRAUD,44,X,Poison,Other Crime,8,Yes,,,,
17472,Mumbai,322,KIDNAPPING,75,F,Firearm,Other Crime,5,No,,,,
17473,Kolkata,338,ASSAULT,37,F,Blunt Object,Violent Crime,16,Yes,,,,
17474,Visakhapatnam,181,ASSAULT,11,M,Firearm,Violent Crime,8,No,,,,
17475,Bangalore,142,TRAFFIC VIOLATION,43,X,Explosives,Traffic Fatality,12,Yes,,,,
17476,Bangalore,581,COUNTERFEITING,10,M,Blunt Object,Other Crime,6,Yes,,,,
17477,Visakhapatnam,449,EXTORTION,14,M,Firearm,Other Crime,2,Yes,,,,
17478,Pune,126,SEXUAL ASSAULT,69,M,Explosives,Violent Crime,2,No,,,,
17479,Mumbai,501,EXTORTION,17,X,Poison,Other Crime,7,Yes,,,,
17480,Varanasi,388,VANDALISM,67,M,Knife,Other Crime,17,No,,,,
17481,Delhi,384,FRAUD,45,M,Knife,Other Crime,1,Yes,,,,
17482,Bangalore,488,DRUG OFFENSE,47,F,None,Other Crime,11,Yes,,,,
17483,Delhi,540,ASSAULT,53,F,Firearm,Violent Crime,2,No,,,,
17484,Pune,247,EXTORTION,74,X,Blunt Object,Other Crime,11,Yes,,,,
17485,Ghaziabad,549,HOMICIDE,63,F,Knife,Other Crime,15,No,,,,
17486,Delhi,151,VEHICLE - STOLEN,74,M,Poison,Violent Crime,18,Yes,,,,
17487,Indore,361,TRAFFIC VIOLATION,79,F,Knife,Traffic Fatality,13,No,,,,
17488,Delhi,348,TRAFFIC VIOLATION,11,M,Knife,Traffic Fatality,2,No,,,,
17489,Nagpur,346,ASSAULT,31,X,Explosives,Violent Crime,10,No,,,,
17490,Visakhapatnam,234,TRAFFIC VIOLATION,41,F,Other,Traffic Fatality,5,No,,,,
17491,Agra,356,BURGLARY,26,F,Poison,Other Crime,14,Yes,,,,
17492,Delhi,355,SEXUAL ASSAULT,53,M,None,Violent Crime,18,Yes,,,,
17493,Jaipur,461,DRUG OFFENSE,11,F,Other,Other Crime,15,Yes,,,,
17494,Ghaziabad,282,DRUG OFFENSE,28,X,Knife,Other Crime,16,No,,,,
17495,Jaipur,484,IDENTITY THEFT,49,X,Knife,Violent Crime,15,Yes,,,,
17496,Kolkata,292,ARSON,22,X,Firearm,Fire Accident,16,No,,,,
17497,Mumbai,293,CYBERCRIME,72,X,Firearm,Other Crime,14,Yes,,,,
17498,Delhi,207,ARSON,32,X,Explosives,Fire Accident,17,Yes,,,,
17499,Delhi,181,HOMICIDE,75,F,Knife,Other Crime,10,No,,,,
17500,Mumbai,205,ROBBERY,65,M,Other,Violent Crime,1,No,,,,
17501,Kolkata,152,VANDALISM,49,F,Knife,Other Crime,4,Yes,,,,
17502,Ahmedabad,225,DOMESTIC VIOLENCE,22,M,None,Violent Crime,7,Yes,,,,
17503,Kanpur,548,HOMICIDE,63,M,Explosives,Other Crime,8,Yes,,,,
17504,Ahmedabad,547,VEHICLE - STOLEN,17,F,Other,Violent Crime,14,No,,,,
17505,Bangalore,551,BURGLARY,56,F,None,Other Crime,15,Yes,,,,
17506,Indore,540,ILLEGAL POSSESSION,11,F,Knife,Other Crime,5,Yes,,,,
17507,Mumbai,501,BURGLARY,51,F,Blunt Object,Other Crime,13,Yes,,,,
17508,Delhi,171,VEHICLE - STOLEN,62,X,Other,Violent Crime,4,Yes,,,,
17509,Mumbai,537,KIDNAPPING,29,M,Firearm,Other Crime,11,No,,,,
17510,Kolkata,399,TRAFFIC VIOLATION,19,X,Knife,Traffic Fatality,17,Yes,,,,
17511,Bangalore,353,IDENTITY THEFT,28,M,None,Violent Crime,1,No,,,,
17512,Rajkot,564,TRAFFIC VIOLATION,19,M,Explosives,Traffic Fatality,15,No,,,,
17513,Delhi,206,VANDALISM,16,X,Explosives,Other Crime,1,Yes,,,,
17514,Delhi,595,ROBBERY,33,F,Poison,Violent Crime,18,No,,,,
17515,Patna,278,SEXUAL ASSAULT,47,M,Poison,Violent Crime,6,Yes,,,,
17516,Kanpur,323,VANDALISM,49,X,None,Other Crime,18,No,,,,
17517,Patna,543,SEXUAL ASSAULT,77,F,Blunt Object,Violent Crime,7,No,,,,
17518,Hyderabad,453,IDENTITY THEFT,66,X,Explosives,Violent Crime,14,No,,,,
17519,Vasai,502,COUNTERFEITING,75,M,Other,Other Crime,5,No,,,,
17520,Bangalore,158,DOMESTIC VIOLENCE,52,F,Knife,Violent Crime,9,Yes,,,,
17521,Thane,183,ASSAULT,61,X,Other,Violent Crime,13,No,,,,
17522,Delhi,123,EXTORTION,41,F,Blunt Object,Other Crime,14,Yes,,,,
17523,Hyderabad,115,SEXUAL ASSAULT,51,F,Poison,Violent Crime,13,Yes,,,,
17524,Nashik,469,PUBLIC INTOXICATION,54,F,Poison,Other Crime,6,Yes,,,,
